Name,Birth,Death,Nationality,Dates in Paris,address,Schools Attended,Exhibitions,Contacts,Government Grant,Notes,Tags,Image
"Vitullo, Sesostris ",1899,1953,Argentina,1925-1953,"17, rue de Gentilly, Montrouge (Seine); 65, boulevard Arago (XIIIe)",Antoine Bourdelle,"1936, 1937, 1938, 1941, 1943, 1944, 1945 Salon des Indépendants<br /> 1935 Salon des Tuileries",,,,"Argentina, Salon des Indépendants, Salon des Tuileries",
"Wolkowyski-Janacopulos, Adrienne ",1897,,Brazil,ca. 1919-1938,"7, rue Belloni; 7, rue Huysmans (XVIe); 139, boulevard Saint-Germain",,"1919, 1922, 1923, 1924, 1925, 1927, 1928 Salon d'Automne<br /> 1924, 1927, 1928, 1929 Salon des Tuileries<br /> 1924 (Mar. 15-Apr. 15) Exposition d'Art Américain-Latin, Musée Galliera",,,sculptor; Russian Brazilian heritage,"Brazil, female, 1924 Exposition d'Art Américain-Latin, Salon d'Automne, Salon des Tuileries",
"Worms, Gastão",1905,1967,Brazil,1927-1932,"16, rue Saint Gothard","Académie de la Grande Chaumière (1927-1928), Académie Julian (1929), Académie André Lhote, Péquin, Friesz, Bourdelle, Despieu","1929, 1930 Salon d'Automne<br /> 1931, 1932 Salon des Tuileries",,Pensionato Artístico do Estado de São Paulo ,,"Brazil, Salon d'Automne, Académie de la Grande Chaumière, Académie Julian",
"Xul Solar, Alejandro ",1887,1963,Argentina,1924 (1 month),"San Pietro di Rovetto-Zoagli, Gênes (Italy)",,"1924 (Mar. 15-Apr. 15) Exposition d'Art Américain-Latin, Musée Galliera (Tête, Composition, Femme au serpant)",,no,,"Argentina, 1924 Exposition d'Art Américain-Latin",
"Ynglada, Pierre",1881,1958,Cuba,ca. 1928,,,1928 Salon d'Autonme,,,,"Cuba, Salon d'Automne",
"Zárraga, Angel",1886,1946,Mexico,1904; 1910; 1911-1941,"Boulevard Arago (1912-); 49, Boulevard Montparnasse (1915-)",Taught at Académie de la Grand Chaumière 1919-,"1910 Société Nationale des Beaux-Arts<br /> 1911, 1912, 1913, 1925, 1928, 1931 Salon d'Automne<br />  1920 (Jun. 8-22) Exposition Angel Zárraga Galerie Bernheim-Jeune<br /> 1921 (Oct. 26-Nov. 5) 2me exposition Angel Zarraga, Galerie Bernheim-Jeune<br /> 1925 Galerie Bernheim Jeune (group show)<br /> 1925 Galerie Devambez (group show)<br /> 1926 Exposition Angel Zarraga, Galerie Bernheim Jeune<br /> 1926 Salón du France, Musée Galliera, organized by Paris-Midi newspaper<br /> 1939 Galerie Silva Bruhns<br /> 1921-1926 decorated castle of Vertcoeur<br /> 1927 commission from Alberto J. Pani, minister of Mexico in France, to paint 12 allegorical panels for the reception hall for the Mexican Legation in Paris<br />1927? received Legion of Honor<br />  frescoes for Our Lady of la Salette in Suresnes, Paris<br /> mural Church of Minimos in Rethel<br /> 1934 Siclis built the Maison du Café on the Place de l’Opera, Zarraga painted fresco<br /> 1934  frescoes in the chapel of the sanctuary of Guébriant in Alta Saboya<br />  1937 Via Crucis for the student chapel at the Cuidad Universitaria in Paris<br /> 1937  fresco on the fables of La Fontain in Meudon<br /> 1938 mural for the chapel of Martel de Joinville, Saboya, Paris<br /> 1938 initiated frescos for the Sociedad de Minas in the salons of the Compañía de Fosfatos de Constantina, Paris
",Louis Vauxcelles,Agregado civil for the Mexican Legion in Paris,Sells Paysage in 1926 for 6700f; sold Nature Morte in 1928 for 6000f,"1924 Exposition d'Art Américain-Latin, Salon d'Automne, Mexico, Société Nationale des Beaux Arts, Legion of Honor, Galerie Bernheim-Jeune",
"Zayas, Georges de ",1898,1967,Mexico,1920s,"22, rue La Bruyère",,"1924 (Mar. 15-Apr. 15) Exposition d'Art Américain-Latin, Musée Galliera",,,"younger brother of Marius de Zayas, caricaturist","Mexico, 1924 Exposition d'Art Américain-Latin",
"Zayas, Marius de ",1880,1961,Mexico,"1914, 1915, 1919, 1920, 1925, 1926 (short trips to organize exhibitions) 1927-1948",,,,,,Wrote “African Negro Art and its Influence on Modern Art”,Mexico,
"Zayas, Rafael de  ",1848,1932,Mexico,ca. 1924,"15, rue de Nesles, Parmain (S.-et-O.)",,"1924 (Mar. 15-Apr. 15) Exposition d'Art Américain-Latin, Musée Galliera",,,Perhaps father of Georges and Marius de Zayas (not known as an artist; he was a novelist and journalist),"Mexico, 1924 Exposition d'Art Américain-Latin",
"Zorrilla de San Martín, José Luis",1891,1975,Uruguay,1922-1927; 1937?,"84, boulevard Garibaldi; 8, rue Colas, 8 (1927)",,"1923, 1925 Salon des Tuileries<br /> 1924 Salon d’Automne<br /> 1924 (Mar. 15-Apr. 15) Exposition d'Art Américain-Latin, Musée Galliera (Deux bustes, Une maquette, Une statue)<br /> 1925 (silver medal for La fuente de los Atletas)<br /> 1925, 1926 Salon des Artistes Français ( silver medal for Gaucho)<br /> 1926 Société Nationale des Beaux-Arts<br /> 1927 Société des artistes français (Fontaine pour Montevideo bronze group)<br /> 1937 invited as Guest of Honor at Exposition internationale des arts et techniques dans la vie moderne","Bourdelle, Maillol, Despiau, Drivier",,sculptor,"Uruguay, Salon d'Automne, 1924 Exposition d'Art Américain-Latin, Salon des Tuileries, Salon des Artistes Français, Société Nationale des Beaux Arts ",
"Zula, Zuléma ",,,Argentina,ca. 1923,"12, rue de Seine, VIe",,1923 Salon des Indépendants,,,,"Argentina, female, Salon des Indépendants",
"Zuloaga, Elisa Elvira ",,,Venezuela,1932-1939,"28, avenue d'Eylau, XVIe; 180, rue de Grennelle VIIe",Académie André Lhote; made prints in W. S. Hayter's Atelier 17 in Paris,"1936 (Portrait, Peinture), 1939 (Paysage, Peinture) Salon des Indépendants",,,,"Venezuela, female, Salon des Indépendants, Académie André Lhote",
,,,,,,,,,,,,
